taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	nomenclaturalCode
1000285	7ddf754f-d193-4cc9-b351-99906754a03b	1000279			Thermococcus zilligii	"Ronimus et al., 1999"	Thermococcus zilligii	Thermococcus	zilligii		species		Int. J. Syst. Bacteriol. 49::935	accepted			BC
7860472	7ddf754f-d193-4cc9-b351-99906754a03b	1000107			Methanobrevibacter millerae	"Rea et al., 2007"	Methanobrevibacter millerae	Methanobrevibacter	millerae		species		Int. J. Syst. Evol. Microbiol. 57::454	accepted			BC
1000115	7ddf754f-d193-4cc9-b351-99906754a03b	1000107			Methanobrevibacter woesei	"Miller & Lin, 2002"	Methanobrevibacter woesei	Methanobrevibacter	woesei		species		Int. J. Syst. Evol. Microbiol. 52::821	accepted			BC
5901287	2d59e5db-57ad-41ff-97d6-11f5fb264527	1000372			Methanogenium boonei	"Kendall, Wardlaw, Tang, Bonin, Liu & Valentine, 2007"	Methanogenium boonei	Methanogenium	boonei		species		"Kendall, M.M., Wardlaw, G.D., Tang, C.F., Bonin, A.S., Liu, Y., and Valentine, D.L. ""Diversity of Archaea in marine sediments from Skan Bay, Alaska, including cultivated methanogens, and description of Methanogenium boonei sp. nov."" Appl. Environ. Microbiol. (2007) 73:407-414."	accepted			BC
9061397	52a423d2-0486-4e77-bcee-6350d708d6ff	1000372			Methanogenium cariaci	"Romesser et al., 1981"	Methanogenium cariaci	Methanogenium	cariaci		species		Int. J. Syst. Bacteriol. 31::216	accepted			BC
7726147	52a423d2-0486-4e77-bcee-6350d708d6ff	7781203			Halolamina salifodinae	"Zhang et al., 2013"	Halolamina salifodinae	Halolamina	salifodinae		species		Int. J. Syst. Evol. Microbiol. 63::4383	accepted			BC
1000012	7ddf754f-d193-4cc9-b351-99906754a03b	5900544			Acidilobus	"Prokofeva et al., 2000"	Acidilobus	Acidilobus			genus		Int. J. Syst. Evol. Microbiol. 50::2007	accepted			BC
1000198	7ddf754f-d193-4cc9-b351-99906754a03b	1000195	1000197		Halobacterium denitrificans	"Tomlinson et al., 1986"	Halobacterium denitrificans	Halobacterium	denitrificans		species		Int. J. Syst. Bacteriol. 36::69	synonym			BC
7463679	52a423d2-0486-4e77-bcee-6350d708d6ff	1000206	1000222		Halorubrobacterium coriensis	"Kamekura & Dyall-Smith, 1996"	Halorubrobacterium coriensis	Halorubrobacterium	coriensis		species		Int. J. Syst. Bacteriol. 46::625	synonym			BC
4896444	7ddf754f-d193-4cc9-b351-99906754a03b	1000206	1000222		Halorubrobacterium coriense	"Kamekura & Dyall-Smith, 1996"	Halorubrobacterium coriense	Halorubrobacterium	coriense		species		Int. J. Syst. Bacteriol. 46::625	synonym			BC
1000214	7ddf754f-d193-4cc9-b351-99906754a03b	1000206	1000213	9520579	Halobacterium trapanicum	"Elazari-Volcani, 1957 (Petter, 1931)"	Halobacterium trapanicum	Halobacterium	trapanicum		species		Int. J. Syst. Bacteriol. 30::307	synonym			BC
1000216	7ddf754f-d193-4cc9-b351-99906754a03b	1000206	1000215		Halobacterium sodomense	"Oren, 1983"	Halobacterium sodomense	Halobacterium	sodomense		species		Int. J. Syst. Bacteriol. 33::385	synonym			BC
1000217	7ddf754f-d193-4cc9-b351-99906754a03b	1000206	1000215	1000216	Halorubrobacterium sodomense	"Kamekura & Dyall-Smith, 1996 (Oren, 1983)"	Halorubrobacterium sodomense	Halorubrobacterium	sodomense		species		Int. J. Syst. Bacteriol. 46::625	synonym			BC
